uri,download link,filename
https://bdebooks.com/books/galivorer-sofor-nama-by-abul-mansur-ahmad,dl.bdebooks.com/index.php/s/JpmsspCHsQBaKqP/download,Galivorer Sofor Nama by Abul Mansur Ahmad (BDeBooks.Com).pdf
https://bdebooks.com/books/food-conference-by-abul-mansur-ahmed,dl.bdebooks.com/index.php/s/WxTgsmXT2fTWgZ3/download,Food Conference by Abul Mansur Ahmed (BDeBooks.Com).pdf
https://bdebooks.com/books/amar-dekha-rajnitir-50-bochor-by-abul-mansur-ahmed,dl.bdebooks.com/index.php/s/a9NoLrTjnANaits/download,Amar ekha rajnitir 50 bochor Abul Mansur Ahmed (BDeBooks.Com).pdf
https://bdebooks.com/books/ashlilatar-daaye-by-narayan-sanyal,dl.bdebooks.com/index.php/s/tEkMbbKpojYc5Rx/download,Ashlilatar Daaye by Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/bratya-by-narayan-sanyal,dl.bdebooks.com/index.php/s/B436EFWwn6bte9s/download,Bratya By Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/bihanga-basana-by-narayan-sanyal,dl.bdebooks.com/index.php/s/JMZfA9F54bFKAS3/download,Bihanga Basana By Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/dandak-shabari-by-narayan-sanyal,dl.bdebooks.com/index.php/s/mWGH6reYHRioQry/download,Dandak Shabari By Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/dashti-upanyas-by-narayan-sanyal,dl.bdebooks.com/index.php/s/TLsrNKXzQyK96BG/download,Dashti Upanyas by Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/monalisar-preme-by-narayan-sanyal,dl.bdebooks.com/index.php/s/qieHGwiPHgLoK5A/download,Monalisar Preme by Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/biswasghatak-by-narayan-sanyal,dl.bdebooks.com/index.php/s/rXYyFt6Np9XGar5/download,Biswasghatak By Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/ek-dui-teen-by-narayan-sanyal,dl.bdebooks.com/index.php/s/cxxXEGtLzjRkzXi/download,Ek Dui Teen by Narayan Sanyal - (BdeBooks.Com).pdf
https://bdebooks.com/books/amrapali-by-narayan-sanyal,dl.bdebooks.com/index.php/s/sBzNoR2gBm4LFQK/download,Amrapali By Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/netaji-rahasya-sandhane-by-narayan-sanyal,dl.bdebooks.com/index.php/s/3NcM9AxJab78oT6/download,Netaji Rahasya Sandhane By Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/na-manusher-panchali-by-narayan-sanyal,dl.bdebooks.com/index.php/s/ojT6osrTsCF5rdo/download,Na Manusher Panchali by Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/abar-jodi-icche-koro-by-narayan-sanyal,dl.bdebooks.com/index.php/s/dsc8kYScswR7zYR/download,Abar Jodi Icche Koro by Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/chobol-by-narayan-sanyal,dl.bdebooks.com/index.php/s/wqyg2b2nrQq3GmK/download,Chobol By Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/rodin-by-narayan-sanyal,dl.bdebooks.com/index.php/s/38ss8ewgmCsyq8A/download,Rodin by Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/achchedyo-bandhan-by-narayan-sanyal,dl.bdebooks.com/index.php/s/twDyaxDyCLeHbmr/download,Achchedyo Bandhan By Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/emonta-to-hoyei-thake-by-narayan-sanyal,dl.bdebooks.com/index.php/s/o88s8WKcAMS3qNE/download,Emonta To Hoyei Thake By Narayan Sanyal (BDeBooks.Com).pdf
https://bdebooks.com/books/prabanchak-by-narayan-sanyal,dl.bdebooks.com/index.php/s/7KYSHnFEqn83m3j/download,Prabanchak by Narayan Sanyal (BDeBooks.Com).pdf
